Q00ID,startlanguage,VVIQQ01[VVIQ01],VVIQQ01[VVIQ02],VVIQQ01[VVIQ03],VVIQQ01[VVIQ04],VVIQQ02[VVIQ05],VVIQQ02[VVIQ06],VVIQQ02[VVIQ07],VVIQQ02[VVIQ08],VVIQQ03[VVIQ09],VVIQQ03[VVIQ10],VVIQQ03[VVIQ11],VVIQQ03[VVIQ12],VVIQQ04[VVIQ13],VVIQQ04[VVIQ14],VVIQQ04[VVIQ15],VVIQQ04[VVIQ16],SUISQ02,SUISQ03,SUISQ04,SUISQ08,SUISQ01,SUISQ05,SUISQ06,SUISQ07,SUISQ09,SUISQ11,SUISQ10,SUISQ12,Q01AGE,Q02LANG,Q02LANG[other],Q03LANG,Q04SEX,Q04SEX[other],Q05EYE,Q06EAR,Q07FEEDBACK
5,en,4,4,3,4,3,4,2,2,4,2,2,4,3,4,4,2,4,4,4,4,2,4,1,3,3,1,4,4,20,-oth-,German,5,2,,2,2,
6,en,4,5,5,4,4,4,5,5,5,5,1,5,3,4,5,2,2,4,1,3,1,4,3,1,2,4,5,1,20,-oth-,german,4,1,,1,4,
7,nl,5,5,4,4,2,4,3,4,5,4,4,4,3,3,2,2,3,5,4,4,3,5,2,5,5,3,5,5,18,1,,3,2,,1,2,
8,en,3,4,3,3,3,3,4,3,3,3,2,3,2,3,3,3,4,4,4,3,4,3,2,2,3,2,4,3,20,-oth-,French,4,1,,1,2,
9,nl,2,2,1,1,1,1,1,1,2,1,3,1,2,2,2,1,1,4,1,2,2,3,1,4,4,2,3,3,20,1,,5,1,,2,2,
10,en,4,4,2,4,4,5,4,5,4,3,4,4,4,5,4,4,2,4,5,1,4,4,2,3,3,4,3,5,20,1,,5,1,,1,2,
11,nl,4,4,3,4,4,4,4,4,5,4,5,4,3,4,4,3,3,2,3,3,5,3,1,1,1,4,3,4,18,1,,5,2,,1,2,
12,en,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,3,4,3,4,5,1,4,5,21,-oth-,Russian ,5,2,,3,1,
13,en,5,5,3,5,3,4,4,4,4,4,3,3,4,4,4,3,4,5,5,5,2,3,3,2,4,3,2,4,20,-oth-,German,4,2,,2,2,
14,en,4,4,2,3,5,5,3,4,3,3,2,3,5,4,5,5,3,4,5,5,1,3,4,2,1,1,4,2,20,-oth-,German,4,2,,1,1,
15,nl,4,4,4,4,3,2,4,4,4,4,4,3,4,4,3,3,4,4,4,2,3,5,3,4,1,2,2,4,25,1,,4,1,,1,2,
16,en,3,3,1,3,4,3,3,3,3,2,1,1,3,2,3,3,4,3,3,2,3,4,1,1,1,3,4,3,20,-oth-,German,5,2,,2,2,
17,nl,4,4,3,5,4,5,3,3,2,2,3,2,4,5,5,4,4,5,5,5,5,4,3,5,4,2,4,4,19,1,,4,2,,2,1,
18,nl,4,3,2,2,3,2,3,2,4,2,4,3,3,3,3,2,2,4,4,3,4,2,1,1,2,3,2,4,21,1,,4,1,,2,1,It was a little more difficult to imagine things when you have to focus on a point with your eyes open
19,en,5,4,3,4,3,4,4,4,4,3,4,4,4,3,4,3,4,5,4,3,3,5,3,3,4,2,4,4,20,-oth-,German,5,1,,2,3,
20,nl,4,3,1,5,2,4,3,4,4,3,4,4,4,2,3,2,2,4,4,4,4,4,4,3,2,3,4,5,19,1,,5,2,,2,2,
21,en,4,4,1,5,4,1,1,1,4,1,4,1,4,4,4,1,2,4,5,4,4,5,1,4,4,3,4,4,18,-oth-,Portuguese,5,2,,2,1,
22,en,4,4,4,4,3,3,4,2,3,3,2,4,3,4,4,3,4,2,1,4,4,3,1,5,2,2,2,4,19,-oth-,Bulgarian,5,2,,3,2,
23,nl,5,5,4,5,4,3,2,2,5,4,2,4,4,3,3,2,4,5,4,4,4,4,1,5,5,4,5,4,22,1,,4,2,,1,1,Ik vond de verhalen soms een beetje snel vertelt.
24,nl,5,4,3,5,4,2,5,2,5,5,5,5,3,4,4,3,4,5,4,2,2,5,1,1,2,1,5,3,18,1,,5,1,,2,3,
25,en,4,4,3,5,3,4,2,3,5,3,3,5,3,4,3,5,4,5,5,3,5,4,2,3,4,2,4,5,19,2,,5,2,,2,2,"Other than troubles with locating the room, it was actually quite a calming experience. I was quite nervous about blinking too often for the measurements, and it was also a little out of nature to keep the eyes open to visualise so I was sometimes distracted from the material of the stories."
26,nl,4,4,5,5,3,4,3,3,4,2,1,2,4,4,4,4,2,5,4,4,2,4,2,2,4,3,4,4,21,1,,5,2,,2,1,
