"Subject","Word","Pupil","Paragraph","Brightness","Story","Vividness","Suspense","Word_order"
"P01M29","story1_bright1_strålende",-0.00169501596012248,"story1_bright1","bright","story1",6,7,1
"P01M29","story1_bright1_sommerdag",-0.00226521664999868,"story1_bright1","bright","story1",6,7,2
"P01M29","story1_bright1_solstrålene",0.0175680273319806,"story1_bright1","bright","story1",6,7,3
"P01M29","story1_bright1_skinte",-0.0489518019881564,"story1_bright1","bright","story1",6,7,4
"P01M29","story1_bright1_skimret",-0.107009399061207,"story1_bright1","bright","story1",6,7,5
"P01M29","story1_bright1_blendende",-0.105210296176789,"story1_bright1","bright","story1",6,7,6
"P01M29","story1_bright1_lyset",-0.105934865261567,"story1_bright1","bright","story1",6,7,7
"P01M29","story1_bright1_glinset",-0.105894847891934,"story1_bright1","bright","story1",6,7,8
"P01M29","story1_bright1_solfylt",-0.202803146291794,"story1_bright1","bright","story1",6,7,9
"P01M29","story1_bright1_dag",-0.201107027347835,"story1_bright1","bright","story1",6,7,10
"P01M29","story1_bright2_lyset_2",0.0827947064324114,"story1_bright2","bright","story1",6,7,1
"P01M29","story1_bright2_strålende_2",-0.0468258824227123,"story1_bright2","bright","story1",6,7,2
"P01M29","story1_bright2_hvite",-0.0534595485104986,"story1_bright2","bright","story1",6,7,3
"P01M29","story1_bright2_blendende_2",-0.161629541147463,"story1_bright2","bright","story1",6,7,4
"P01M29","story1_bright2_dagslys",-0.119231583367193,"story1_bright2","bright","story1",6,7,5
"P01M29","story1_bright2_sollyset",-0.0784447985135725,"story1_bright2","bright","story1",6,7,6
"P01M29","story1_bright2_gyllen",-0.180602931287172,"story1_bright2","bright","story1",6,7,7
"P01M29","story1_bright2_glød",-0.17823945403687,"story1_bright2","bright","story1",6,7,8
"P01M29","story1_bright2_glitrende",-0.152255810240056,"story1_bright2","bright","story1",6,7,9
"P01M29","story1_dark_mørk",0.0827252604624565,"story1_dark","dark","story1",6,7,1
"P01M29","story1_dark_tunnel",0.0831534196850931,"story1_dark","dark","story1",6,7,2
"P01M29","story1_dark_sorte",-0.145889116275913,"story1_dark","dark","story1",6,7,3
"P01M29","story1_dark_svarte",-0.0982285566589582,"story1_dark","dark","story1",6,7,4
"P01M29","story1_dark_skygger",-0.120431636908753,"story1_dark","dark","story1",6,7,5
